,course_id,reviewer_name,rating,review_text,url
57,bioinformatika,Kira K,5,"I learnt a lot from this course! All lecturers are great and they explain difficult themes very well for the beginners but also offer interesting questions for advanced audience. I enjoyed the deceptive ease of DNA purification (I did it at my work too), comparison of sequencing technologies, and all algorithms and software described. I found all classes very helpful and would like to thank staff for this great, interesting and inspiriting lessons!",https://www.coursera.org/learn/bioinformatika/reviews?page=1
58,bioinformatika,Савченков Л А,3,"Курс интересный, но знаний оставляет немного, практики же почти ноль.Достаточно ""сырая"" часть курса, связанная с практическими заданиями. Большинство лекций инетересны, но затянуты и плохо структурированы для МООС.",https://www.coursera.org/learn/bioinformatika/reviews?page=1
59,bioinformatika,Eduard B,2,"Очень формальная подача материала. Не рассчитано на тех, кто не знаком с биологией и медициной, в т.ч. для ""технарей"".Спасибо, что бесплатно, но для меня лично это не годится.",https://www.coursera.org/learn/bioinformatika/reviews?page=1
60,biosensory,Татьяна,5,"Очень интересный курс! Но для меня, как для обычного человека, далекого от химии и биологии, очень сложно было воспринимать информацию из-за огромного количества научных терминов. Это сильно путало, отвлекало.. но с другой стороны, а как тут иначе еще рассказать, что происходит на молекулярном уровне? :)) ",https://www.coursera.org/learn/biosensory/reviews?page=1
61,biosensory,Rinat,5,Хороший курс для базового ознакомления с темой.,https://www.coursera.org/learn/biosensory/reviews?page=1
62,biosensory,Jane D,5,Отличный лектор! ,https://www.coursera.org/learn/biosensory/reviews?page=1
63,biosensory,Гросс Д,5,"Очень познавательный курс - целая вселенная рядом! Преподавание Анны, как всегда, на высоте. Спасибо за ваш труд.",https://www.coursera.org/learn/biosensory/reviews?page=1
64,biosensory,Малыхова Л Ф,5,"Обширный материал,подан на высоком  уровне,автор сумел найти золотую середину между слишком сложным объяснением проблем биосенсорики  и популяризацией этой увлекательной, вообще-то области знаний.Какие интересные сравнения и параллели в развитии органов чувств проведены на органном и молекулярном уровне! От души выражаю признательность и благодарность разработчикам проекта.",https://www.coursera.org/learn/biosensory/reviews?page=1
65,biosensory,Samarin I,5,"Прослушал с большим удовольствием. Очень широко, динамично и увлекательно. Много примеров и просто откровений о устройстве жизни. Спасибо за объяснение основных принципов рецепторов, связи трансмембранных белков и открытие каналов нейронов.",https://www.coursera.org/learn/biosensory/reviews?page=1
66,bulgakov-master-i-margarita,Catherine ,5,Я получила огромное удовольствие от курса. Именно так должна проходить учёба - с удовольствием!!! Спасибо вам огромное дорогие преподаватели Томского Университета. Буду и дальше постигать медленное вдумчивое чтение. ,https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
67,bulgakov-master-i-margarita,Yubing C,5,"Когда в первый раз обнаружила этот курс, была в восторге!!!  Без него я бы очень много пропускала про читение романа. Хочу выразить свою искренную благодарнасть преподавателям  Татьяне Борисовне и  Елене Андреевне, спасибо вам за замечательные лекции!!! Они такие незабываемые!!!  ",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
68,bulgakov-master-i-margarita,Чемовлина К С,5,"
Произошло невозможное: разоблачение многослойного романа М. А. Булгакова ""Мастер и Маргарита"". Всё понравилось! Курс совершенен:1)
 ""Атмосферность"": инсценировка ""нехорошей квартирки"", ""материализация"" 
преподавателей из ничего, лекция из зрительного зала, в котором 
""произошёл"" ""Сеанс чёрной магии"".2) Художественные детали: анимация,
 наличие роз, карнавальной маски, книги с пожелтевшими страницами, 
сообщающих колорит обстановке.3) Преподаватели показали свой 
неоспоримый профессионализм, кроме того, являются сами по себе 
украшением курса, ведь они обаятельные и элегантные женщины!P. S.: Отдельное спасибо за мягкий дедлайн и субтитры. Иностранным слушателям предоставлены видео и субтитры на английском языке.",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
69,bulgakov-master-i-margarita,carmen l g d,5,Этот курс меня  увлекал! ,https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
70,bulgakov-master-i-margarita,Alla D,5,Прекрасный курс! Очень доходчиво поясняют правила чтения. Нашла ответы на многие вопросы,https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
71,bulgakov-master-i-margarita,Ева К,5,Преподаватели просто замечательные! Спасибо за великолепный курс!,https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
72,bulgakov-master-i-margarita,Светлана З,5,"Курс стал для меня полезным руководством в чтении художественного произведения. А именно - для меня открылась польза медленного смыслового чтения, которая помогла отгадать многие загадки в художественной картине мира М.А. Булгакова. Благодарю авторов курса за столь полезные уроки!",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
73,bulgakov-master-i-margarita,Alena K,1,"Очень плохо и неинтересно

",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
74,bulgakov-master-i-margarita,Dinara H,1,"название курса не отражает его содержание. Много лишней болтовни, отхождение от темы. Поиск смысла в каждой строчке! Неужели вы думаете Что Булгаков писал свое произведение, шифруя какие-то смыслы в каждом слове (из библии например)? Это не научный трактат основывающийся на чужих книгах, чтобы иметь вес!",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
75,bulgakov-master-i-margarita,Leonid,5,"  Very interesting course, I really like it  ",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
76,bulgakov-master-i-margarita,Oxana T,1,"very poor. even though for the most part I found the videos engaging, the course's overall structure doesn't help to 'read the novel together', as is stated in the title. the quizes are poorly written, even for me, a native russian speaker, it was often hard to understand the questions, and sometimes its plain guess work on the opinions of the course authors. often a required number of answers to pass a quiz is the same as the total number of questions in that same quiz. the essay's topics rarely correspond with the actual reading of the book. for the very first week the essay required knowledge of the book that hasn't been read yet by the participants. or it should be stated that one needs to read the book prior to taking the course. then again that would require the change of the course's name. ",https://www.coursera.org/learn/bulgakov-master-i-margarita/reviews?page=1
